method,evidence_type,AEOSSP Standard,Regional Coverage,Relay Constellation,Revisit Constellation,SatNet,SPOT-5,Stereo Imaging
Claude Code,agent,58.4500,21.2200,12.2500,76.5000,60.3600,43.9600,19.1600
Codex CLI,agent,72.9100,72.0800,64.9100,69.5800,69.4500,61.9200,68.9100
Kimi CLI,agent,72.0300,73.1500,57.7700,73.3600,66.1400,61.9200,0.2505
OpenCode + MiniMax,agent,36.4400,17.7300,0.0000,0.0000,37.5400,37.4700,0.0000
OpenCode + DPSK,agent,71.4400,35.7900,35.6700,70.9500,60.2300,60.9100,13.0000
Best reproduced solver baseline,reproduced_solver,75.9531,86.4393,61.7939,70.9777,,60.9236,96.0500
Best citation-reported SatNet reference,citation_reported_reference,,,,,61.5850,,
